2019-01-27 03:50:09,365 | WARN  | Stealing link for clientId mqttClient From Connection Transport Connection to: tcp://128.252.20.193:48090 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///128.252.20.193:52544@1883
2019-01-27 03:50:39,365 | WARN  | Transport Connection to: tcp://128.252.20.193:52544 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:52544@1883
2019-01-27 03:51:12,350 | WARN  | Transport Connection to: tcp://128.252.20.193:42562 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:42562@1883
2019-01-27 03:51:53,397 | WARN  | Stealing link for clientId mqttClient From Connection Transport Connection to: tcp://128.252.20.193:54312 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///128.252.20.193:42890@1883
2019-01-27 03:52:23,975 | WARN  | Transport Connection to: tcp://128.252.20.193:42890 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:42890@1883
2019-01-27 03:52:57,256 | WARN  | Stealing link for clientId mqttClient From Connection Transport Connection to: tcp://128.252.20.193:38282 | org.apache.activemq.broker.region.RegionBroker | ActiveMQ Transport: tcp:///128.252.20.193:37484@1883
2019-01-27 03:52:57,615 | WARN  | Transport Connection to: tcp://128.252.20.193:37484 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:37484@1883
2019-01-27 03:53:01,365 | WARN  | Transport Connection to: tcp://128.252.20.193:48552 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:48552@1883
2019-01-27 03:54:17,506 | WARN  | Transport Connection to: tcp://128.252.20.193:33392 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:33392@1883
2019-01-27 03:54:22,475 | WARN  | Transport Connection to: tcp://128.252.20.193:35940 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:35940@1883
2019-01-27 03:57:06,193 | WARN  | Transport Connection to: tcp://128.252.20.193:58808 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:58808@1883
2019-01-27 03:57:10,334 | WARN  | Transport Connection to: tcp://128.252.20.193:55124 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///128.252.20.193:55124@1883
